玩家\對手,SIN,HAO,尼克,軒,海月,池,黑羊,洋蔥,DEAN,JOY,LIANG,轆,KEVIN,豬豬,雪怪,發達,黃某人,菜,LORI,大星,ED,午夜,VASH,TEN,豬羊,很乖,呂安,RAY
SIN,,-0.16296296296296298,0.05737704918032787,0.06312292358803986,0.01694915254237288,-0.08994708994708994,-0.06726457399103139,0.04854368932038835,-0.12195121951219512,-0.16853932584269662,0.2080536912751678,-0.18120805369127516,0.005847953216374269,0.11904761904761904,0.075,0.078125,0.10869565217391304,-0.17355371900826447,0.0,0.25925925925925924,-0.1320754716981132,0.2835820895522388,0.1724137931034483,0.19047619047619047,-0.14285714285714285,-0.05128205128205128,0.05555555555555555,0.5294117647058824
HAO,0.16296296296296298,,0.21739130434782608,0.15463917525773196,0.23076923076923078,0.10052910052910052,0.2919254658385093,0.04285714285714286,0.10606060606060606,0.1048951048951049,0.1095890410958904,0.09722222222222222,0.10526315789473684,0.16981132075471697,0.0891089108910891,0.030927835051546393,0.1717171717171717,0.3103448275862069,-0.018518518518518517,0.18309859154929578,0.1951219512195122,0.25806451612903225,0.14285714285714285,0.2,-0.12643678160919541,0.07936507936507936,0.07894736842105263,0.14285714285714285
尼克,-0.05737704918032787,-0.21739130434782608,,0.0049261083743842365,-0.14285714285714285,-0.027777777777777776,0.0,-0.020689655172413793,0.02127659574468085,0.0,0.04477611940298507,-0.006993006993006993,0.06666666666666667,0.10679611650485436,-0.11764705882352941,0.030927835051546393,-0.021739130434782608,-0.05660377358490566,0.0,0.031578947368421054,-0.23529411764705882,0.07936507936507936,0.21428571428571427,0.22388059701492538,-0.18072289156626506,-0.09302325581395349,-0.024390243902439025,0.2857142857142857
軒,-0.06312292358803986,-0.15463917525773196,-0.0049261083743842365,,0.0,-0.0948905109489051,-0.10059171597633136,-0.08994708994708994,-0.3333333333333333,-0.35714285714285715,-0.02040816326530612,0.0,-0.04878048780487805,0.08843537414965986,-0.1746031746031746,-0.04697986577181208,0.02127659574468085,-0.05154639175257732,-0.07142857142857142,0.0967741935483871,-0.3333333333333333,0.1485148514851485,-1.0,0.12903225806451613,-0.0625,-0.1111111111111111,-0.08235294117647059,0.0
海月,-0.01694915254237288,-0.23076923076923078,0.14285714285714285,0.0,,-0.03225806451612903,0.047619047619047616,-0.1111111111111111,-0.08270676691729323,-0.024793388429752067,0.1111111111111111,-0.5,,,0.045454545454545456,-0.09090909090909091,-0.14285714285714285,-1.0,-0.13432835820895522,0.29411764705882354,-0.0967741935483871,-0.5,-0.07142857142857142,0.08333333333333333,0.0,0.0,-0.42857142857142855,-0.11475409836065574
池,0.08994708994708994,-0.10052910052910052,0.027777777777777776,0.0948905109489051,0.03225806451612903,,0.06293706293706294,0.008849557522123894,-0.018867924528301886,0.047619047619047616,-0.056179775280898875,-0.06329113924050633,0.06493506493506493,0.2,0.21518987341772153,0.11688311688311688,0.10638297872340426,0.09333333333333334,-0.07142857142857142,0.04477611940298507,0.0958904109589041,0.061224489795918366,-0.2682926829268293,0.0958904109589041,-0.23076923076923078,0.022222222222222223,0.04,-0.15789473684210525
黑羊,0.06726457399103139,-0.2919254658385093,0.0,0.10059171597633136,-0.047619047619047616,-0.06293706293706294,,-0.07586206896551724,-0.08108108108108109,0.05555555555555555,-0.02857142857142857,-0.05660377358490566,0.15555555555555556,0.0,0.047619047619047616,-0.0136986301369863,-0.020833333333333332,-0.17647058823529413,-0.14285714285714285,0.2727272727272727,-0.07142857142857142,0.058823529411764705,0.0,0.3225806451612903,-0.1320754716981132,0.20930232558139536,-0.03225806451612903,1.0
洋蔥,-0.04854368932038835,-0.04285714285714286,0.020689655172413793,0.08994708994708994,0.1111111111111111,-0.008849557522123894,0.07586206896551724,,0.21428571428571427,-0.13043478260869565,0.11711711711711711,0.0196078431372549,0.0891089108910891,0.21839080459770116,-0.058823529411764705,0.13402061855670103,0.23232323232323232,0.125,-0.08695652173913043,-0.058823529411764705,-0.23076923076923078,0.2564102564102564,1.0,0.24,-0.16666666666666666,0.015873015873015872,0.17647058823529413,1.0
DEAN,0.12195121951219512,-0.10606060606060606,-0.02127659574468085,0.3333333333333333,0.08270676691729323,0.018867924528301886,0.08108108108108109,-0.21428571428571427,,0.0,-0.1111111111111111,0.07692307692307693,0.09090909090909091,0.09090909090909091,0.17391304347826086,0.0,0.1,0.06666666666666667,-0.043478260869565216,0.3793103448275862,-0.06666666666666667,0.0,-0.009708737864077669,0.16129032258064516,-0.3333333333333333,-0.14285714285714285,-0.09090909090909091,0.13846153846153847
JOY,0.16853932584269662,-0.1048951048951049,0.0,0.35714285714285715,0.024793388429752067,-0.047619047619047616,-0.05555555555555555,0.13043478260869565,0.0,,0.2857142857142857,-0.1111111111111111,0.42857142857142855,0.2727272727272727,0.102803738317757,0.2222222222222222,-0.2,-0.18518518518518517,-0.06329113924050633,0.0,-0.1,1.0,-0.10810810810810811,0.1111111111111111,0.0,0.5,0.2,-0.07142857142857142
