流水號,文字記錄,配置,刺殺,分類,日期時間,場次,頁碼,note,玩1,玩2,玩3,玩4,玩5,玩6,玩7,玩8,玩9,玩0,結果,第一局成功失敗,第二局成功失敗,第三局成功失敗,第四局成功失敗,第五局成功失敗,第一局,第二局,第三局,第四局,第五局,組成,強人,戳人,局勢,首湖,二湖,三湖,首湖玩家,二湖玩家,三湖玩家,角1,角4,角5,角0,2025-01-01 00:00:00,派5,派0,外灑
1,"147
269
349
468
358
ooo
3589 6+
3578
4589
3589 1+
3590
ooox
0>2 x
1358 5-
2358 5-
3459 59-
3457 45-
3568
ooox
2>8 x
12347 7- 6+
14679
oooxx",901836,,線瓦,1900-01-02 00:00:00,1,,我旁觀,,,,,,,,,,,三紅,ooo,ooox,ooox,oooxx,,藍,紅,紅,紅,,", , , , , , , , , ",0,0,藍紅紅紅,0>2,2>8,,娜,忠,奧,德,忠,忠,娜,147,N,N,N
2,"167 8+
249
139
149
125
ooo
6789
1257
1348 4- 6+
1489
4670
ooox
0>4 o
1245
1245
1349
1456
1245
ooox
4>9 x
14680 10- 9+
12457 45-
14580 15- 7+
13579 137-
14780
ooooo
9>3 x
14780 140- 9+
12480 1480- 9+
14780 14780- 369+
14780 1- 369+
oooox",962801,,線瓦,1900-01-02 00:00:00,2,,我旁觀,,,,,,,,,,,三紅,ooo,ooox,ooox,ooooo,oooox,藍,紅,紅,藍,紅,", , , , , , , , , ",0,0,藍紅紅藍紅,0>4,4>9,9>3,派,忠,刺,梅,忠,忠,派,167,N,N,N
3,"156 5-
248
379
458
389
ooo
3689 3-
3789 3-
3589 17+
oooo
0>3 o
3589
oooo",604259,,線瓦,1900-01-02 00:00:00,3,,我旁觀,,,,,,,,,,,三藍活,ooo,oooo,oooo,,,藍,藍,藍,,,", , , , , , , , , ",0,0,藍藍藍,0>3,,,娜,忠,,忠,德,派,娜,156,Y,N,N
4,"259 5- 1+
270
123
456
257
oox
2360
4679
3478
1269
2690
ooox
0>5 x
1379
1237 1-
1279 36+
oooo
5>4 x
12379
ooooo
4>6 o
12379
ooooo",408573,,線瓦,1900-01-02 00:00:00,4,,我旁觀,,,,,,,,,,,三藍活,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , , , , , , , ",0,0,紅紅藍藍藍,0>5,5>4,4>6,娜,奧,刺,忠,刺,奧,娜,259,Y,N,Y
5,"158 8-
269
350
478
135
ooo
1356
1357
1568
1359 8+
1350
ooox
0>8 x
1357 0+
1235 0+
1356 80+
ooox
8>6 x
12345 9+
ooooo
6>1x
12345 1- 69+
oooxx",064271,,線瓦,1900-01-02 00:00:00,5,,我旁觀,,,,,,,,,,,三紅,ooo,ooox,ooox,ooooo,oooxx,藍,紅,紅,藍,紅,", , , , , , , , , ",0,0,藍紅紅藍紅,0>8,8>6,6>1x,刺,忠,娜,梅,德,忠,刺,158,Y,N,N
6,"348 1+
267 4+
134
378 4+
567
oox
2369 4+
3467 3-
2478
6790
1360
ooxx
0>5 x
1478
2689 689-
1347
2479 160+
oooo
5>6 x
24579 9- 6+
24679 158+
ooooo
6>1 o
12479
ooooo",580369,,線瓦,1900-01-02 00:00:00,6,,我旁觀,,,,,,,,,,,三藍活,oox,ooxx,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , , , , , , , ",0,0,紅紅藍藍藍,0>5,5>6,6>1,德,刺,派,忠,忠,刺,德,348,N,N,Y
7,"167
269
345
148
569
ooo
1569 1-
1367
5689
2569
5690
ooxx
0>4 o
1467 7-
2379 79-
2378
3470 7- 26+
1578
ooox
4>8 o
14678 17-
34789 39- 5+
23789 9- 56+
ooooo
8>9 o
23789 37- 16+
47890 4789-
12789 789- 50+
23789 9- 5+
23789
ooooo",451093,,線瓦,1900-01-02 00:00:00,7,,我旁觀,,,,,,,,,,,三藍活,ooo,ooxx,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,", , , , , , , , , ",0,0,藍紅紅藍藍,0>4,4>8,8>9,奧,刺,忠,德,刺,娜,奧,167,N,N,N
8,"160
279
389
490
567
oox
3468
4789
1268 6-
1590
2690
ooox
0>4 x
1590 9-
2890
3680 7+
2690 2690- 4+
5890
ooox",491763,,線瓦,1900-01-02 00:00:00,8,,我旁觀,,,,,,,,,,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,", , , , , , , , , ",0,0,紅紅紅,0>4,,,忠,刺,,德,刺,忠,忠,160,N,Y,N
9,"138 6+
349 2+
378
458 9+
159
ooo
1569
1579
1459 2678+
ooox
0>3 o
2579
3580
1380
1239
3457
oooo
3>7 x
34890
34589
13569 3-
34570
13580
oooxx
7>8 o
12369 3- 8+
23690
12369
ooooo",847536,2.0,線瓦,1900-01-02 00:00:00,9,,我旁觀,,,,,,,,,,,三藍活,ooo,ooox,oooo,oooxx,ooooo,藍,紅,藍,紅,藍,", , , , , , , , , ",0,0,藍紅藍紅藍,0>3,3>7,7>8,忠,派,德,忠,娜,奧,忠,138,N,N,N
10,"169
259
370
349
359
ooo
3569
3579
3589
2359
3590
ooox
0>4 o
1239 23-
2579
3569
4580
4579
ooox
4>9 o
23469 2-
35679 39-
23689 239-
23679
oooxx",275604,,線瓦,1900-01-02 00:00:00,10,,我旁觀,,,,,,,,,,,三紅,ooo,ooox,ooox,oooxx,,藍,紅,紅,紅,,", , , , , , , , , ",0,0,藍紅紅紅,0>4,4>9,,派,梅,忠,忠,梅,德,派,169,N,N,N
11,"126
278
390
890 4+
256
oox
1690 3+
2470
2389 9-
4690 0-
1290
ooox
0>3 x
1580 50-
2479
2379 27-
2479
1450
oooo
3>6 x
14590
ooooo
6>9 o
14590
ooooo",872310,1.0,線瓦,1900-01-02 00:00:00,11,,覆盤局,,,,,海月,,,,,,三藍活,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , , 海月, , , , , ",0,1,紅紅藍藍藍,0>3,3>6,6>9,梅,奧,忠,派,忠,忠,梅,126,N,N,N
12,"157
269
678 3+
460
589
ooo
5689
5689 7+
2589
2589
5890
ooox
0>4 o
1289 2-
2478
3489
4689 9- 3+
1589
oooo
4>5 x
15689
oooxx
5>8 o
46780 46-
23489 24- 1+
24789 1+
ooooo",036542,2.0,線瓦,1900-01-02 00:00:00,12,,覆盤局,,,,,,,,,海月,,三藍死,ooo,ooox,oooo,oooxx,ooooo,藍,紅,藍,紅,藍,", , , , , , , , 海月, ",0,1,藍紅藍紅藍,0>4,4>5,5>8,刺,派,奧,忠,派,奧,刺,157,Y,N,N
13,"159
268
345
459
579
ooo
1690 10-
5789 24+
ooox
0>9 x
3578
1359
3580
1457 5- 6+
2368
ooox
9>2 o
13580 18-
14578 178-
35780 1+
ooooo
2>7 o
35780 3- 12469+
ooooo",169258,8.0,線瓦,1900-01-02 00:00:00,13,,,,,,,,,,,海月,,三藍死,ooo,ooox,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,", , , , , , , , 海月, ",0,1,藍紅紅藍藍,0>9,9>2,2>7,忠,德,奧,刺,忠,派,忠,159,Y,N,N
14,"135
269
380
460
345
oox
2469 2-
3780
3890
3490
1380
ooxx
0>4 o
1469 46-
2469
2579 2579- 3+
4690 28+
oooo
4>2 o
24690
ooooo
2>9 o
24690
ooooo",578124,6.0,線瓦,1900-01-02 00:00:00,14,,,,,海月,,,,,,,,三藍活,oox,ooxx,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , 海月, , , , , , , ",0,1,紅紅藍藍藍,0>4,4>2,2>9,忠,梅,派,奧,梅,刺,忠,135,Y,N,N
15,"150
268
358
145
345
oox
2690 4+
5780 4+
2358 4+
2389 3- 4+
3450
ooxx
0>4 o
3689 38- 1470+
ooox",079418,,線瓦,1900-01-02 00:00:00,15,瓦2,,,,,,,,,,,海月,三紅,oox,ooxx,ooox,,,紅,紅,紅,,,", , , , , , , , , 海月",0,1,紅紅紅,0>4,,,刺,奧,,派,奧,忠,刺,150,Y,Y,N
16,"678 12+
678 12+
369
348
578
ooo
5678 7-
5780
1578
5789
5780
ooox
0>2 o
1278 2-
2468
2369
4789 7- 6+
1578
ooox
2>7 o
24678 27-
23467 10+
ooooo
7>4 o
34678
34679
12467 12467- 0+
12467
oooox",031275,,線瓦,1900-01-02 00:00:00,16,瓦1-5,,,,,,,,,,,海月,三紅,ooo,ooox,ooox,ooooo,oooox,藍,紅,紅,藍,紅,", , , , , , , , , 海月",0,1,藍紅紅藍紅,0>2,2>7,7>4,刺,奧,派,德,忠,梅,刺,678,N,N,Y
17,"180
256
349
249
459
oox
1680
1379
6890
1379
6890
oooo
0>8 o
6890
ooox
8>1 o
12689 168- 3+
13689 16-
12468 1268- 0+
15689 169- 30+
12689
ooooo
1>2 o
12689 6- 70+
oooox",805734,,線瓦,1900-01-02 00:00:00,17,,,,,,,,,海月,,,,三紅,oox,oooo,ooox,ooooo,oooox,紅,藍,紅,藍,紅,", , , , , , 海月, , , ",0,1,紅藍紅藍紅,0>8,8>1,1>2,娜,刺,忠,忠,梅,德,娜,180,N,Y,N
18,"158
267
349
479
578
oox
3689
3467 6-
1489 1-
3689
3590
ooox
0>3 o
1389
2367
1368 90+
oooo
3>9 x
13468 20+
ooooo
9>1 o
13568 1368- 90+
13680 3-
13678 136- 29+
oooox",749210,,線瓦,1900-01-02 00:00:00,18,,,,,,海月,,,,,,,三紅,oox,ooox,oooo,ooooo,oooox,紅,紅,藍,藍,紅,", , , 海月, , , , , , ",0,1,紅紅藍藍紅,0>3,3>9,9>1,梅,忠,德,派,娜,忠,梅,158,Y,N,N
19,"579 1+
290
378
146
157
oox
4670
5678 6-
3589
1489
4670
ooox
0>4 o
1389
2450
3479
4569 59-
3459
oooo
4>6 o
34569
ooooo
6>3 o
34569
ooooo",720864,4.0,線瓦,1900-01-02 00:00:00,19,,,,,,,,,,,,海月,三藍死,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , , , , , , , 海月",0,1,紅紅藍藍藍,0>4,4>6,6>3,德,梅,派,忠,梅,忠,德,579,Y,N,Y
20,"149
126 7+
369
480
569
oox
1680
2370
3489
1490
1480
ooox
0>3 o
1367 7-
3780 7- 2+
2378 190+
ooox",170425,,線瓦,1900-01-02 00:00:00,20,,,,,,,,,,海月,,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,", , , , , , , 海月, , ",0,1,紅紅紅,0>3,,,德,忠,,刺,奧,梅,德,149,N,N,N
21,"178
278
369 4+
489
159
ooo
1569
1590 1- 7+
1589 4+
1479 14-
1590
ooox
0>5 o
1578
2479
1359
2489
1356
ooox
5>9 o
56789 79- 1+
16789 9-
16789 9- 4+
16789 35+
ooooo
9>8 o
67890 6789-
15789 7- 26+
ooooo",420356,6.0,線瓦,1900-01-02 00:00:00,21,2023-01-14 00:00:00,,池,bless,sbear,皮皮,,,,海月,,,三藍死,ooo,ooox,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,"池, BLESS, SBEAR, 皮皮, , , , 海月, , ",1,2,藍紅紅藍藍,0>5,5>9,9>8,德,派,忠,忠,刺,派,德,178,N,N,N
22,"148 0+
235
369 0+
458 270+
oox
3569 0+
6789 0+
6780 8-
1568 5-
3569
ooox
3480 48-
1359
1235 15-
1359 278+
oooo
4>5 o
13459
ooooo
5>6 x
12359
ooooo",068751,4.0,線瓦,1900-01-02 00:00:00,22,2023-01-22 00:00:00,,,,海月,,,,,,,,三藍活,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , 海月, , , , , , , ",0,1,紅紅藍藍藍,4>5,5>6,,忠,派,娜,梅,忠,派,刺,148,N,N,N
23,"130
269
134
478
350
ooo
3560
1350 7+
3580
2468 79+
ooox
0>3 o
3580 1+
2468 2468- 1+
2350 3-
1350 50- 67+
3450
ooox
3>7 o
23578 37-
14567 1457-
23578 6+
ooxxx",865204,,線瓦,1900-01-02 00:00:00,23,,,,,,,,,,,,海月,三紅,ooo,ooox,ooox,ooxxx,,藍,紅,紅,紅,,", , , , , , , , , 海月",0,1,藍紅紅紅,0>3,3>7,,派,忠,忠,忠,梅,德,派,130,N,Y,N
24,"148
259 6+
359
478
125
oox
5689
3579
1480
4690
1250
ooox
0>2 x
1489 48- 0+
2469 0+
3459 5- 0+
4569 5- 0+
4568
ooox",178062,,線瓦,1900-01-02 00:00:00,24,,,,海月,,,,,,,,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,", 海月, , , , , , , , ",0,1,紅紅紅,0>2,,,奧,梅,,刺,忠,忠,奧,148,N,N,N
25,"168 2+
269
370
468
568
oox
1246
3570
1278
2590
3670
ooox
0>3 o
1259
1259
3479 9- 680+
ooox",408352,,線瓦,1900-01-02 00:00:00,25,,,,,,,,,,,海月,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,", , , , , , , , 海月, ",0,1,紅紅紅,0>3,,,娜,奧,,忠,刺,派,娜,168,N,N,N
26,"178
269 8+
350
450
356
oxx
2689
2789
1248
2790
2780
oooo
0>1 o
2780
oooo
1>2 x
12780
ooooo",634571,,線瓦,1900-01-02 00:00:00,26,,,,,,,,,海月,,,,三藍活,oxx,oooo,oooo,ooooo,,紅,藍,藍,藍,,", , , , , , 海月, , , ",0,1,紅藍藍藍,0>1,1>2,,忠,梅,忠,梅,德,奧,忠,178,N,N,N
27,"189
247
369
149 0+
458
ooo
4568 9+
2458 7+
4580
4589 1+
2458
ooox
0>8 o
1458 58-
2378 8-
2389 8-
1468
4568
oooo
8>5 o
14568 5- 3+
45678 5-
34568
ooooo",193258,5.0,線瓦,1900-01-02 00:00:00,27,,,,,,,,,,海月,,,三藍活,ooo,ooox,oooo,ooooo,,藍,紅,藍,藍,,", , , , , , , 海月, , ",0,1,藍紅藍藍,0>8,8>5,,忠,梅,派,刺,忠,派,忠,189,N,N,N
28,"148
259
358
456
578
oox
1670
1347
2468
1459
1560
oooo
0>6 o
1560
ooox
6>5 o
24568 468-
34569 69-
24568
45689 1+
ooooo
5>8 o
45689 689-
56780 568-
45689
45689
oooox",306728,,線瓦,1900-01-02 00:00:00,28,,,,海月,,,,,,,,,三紅,oox,oooo,ooox,ooooo,oooox,紅,藍,紅,藍,紅,", 海月, , , , , , , , ",0,1,紅藍紅藍紅,0>6,6>5,5>8,娜,德,忠,忠,忠,忠,娜,148,N,N,N
29,"156
270
369
478
357
oxx
4689
2468 7+
2489
4789
1480
ooox
0>4 o
1468 46- 8+
2468 46-
1234 124-
4689
ooox",519783,,線瓦,1900-01-02 00:00:00,29,,,,,,,,海月,,,,,三紅,oxx,ooox,ooox,,,紅,紅,紅,,,", , , , , 海月, , , , ",0,1,紅紅紅,0>4,,,忠,忠,,娜,忠,刺,忠,156,Y,N,N
30,"167
258
389
578 4+
158
ooo
1568 4+
1578
1358
1589 24+
oooo
0>9 o
1589
oooo",037652,4.0,線瓦,1900-01-02 00:00:00,30,,,,,,,海月,,,,,,三藍活,ooo,oooo,oooo,,,藍,藍,藍,,,", , , , 海月, , , , , ",0,1,藍藍藍,0>9,,,刺,忠,,忠,忠,派,刺,167,N,N,N
31,"158 3+
270 3+
345
458
580
ooo
5680 0- 3+
5780 0- 3+
1580 0- 3+
5890 0- 3+
1580
oooo
0>5 x
1670 3+
2789 3+
1380
1480 3+
5679
ooxx
5>3 x
12680 180- 35+
12470 1240-
12380 0- 59+
oooxx
3>7 o
24670 20- 359+
ooooo",185907,,線瓦,1900-01-02 00:00:00,31,,,,,,,,,,海月,,,三藍活,ooo,oooo,ooxx,oooxx,ooooo,藍,藍,紅,紅,藍,", , , , , , , 海月, , ",0,1,藍藍紅紅藍,0>5,5>3,3>7,派,德,忠,刺,忠,德,派,158,Y,N,N
32,"190
278
358
467
589
oox
2567
2570
4678
2479
2470
oooo
0>7 o
2470
ooox
7>5 o
12357 7-
13457 47-
14570 17-
13570
ooooo
5>8 x
13567 1357- 8+
13457 80+
ooooo",968273,3.0,線瓦,1900-01-02 00:00:00,32,,,,,,,,,海月,,,,三藍死,oox,oooo,ooox,ooooo,ooooo,紅,藍,紅,藍,藍,", , , , , , 海月, , , ",0,1,紅藍紅藍藍,0>7,7>5,5>8,忠,派,忠,忠,忠,忠,忠,190,N,Y,N
33,"178
123
379
456
567
ooo
4680 3+
1467
5678 7-
3469
1780
ooox
0>7 o
1237
2357 57-
3567 7-
4568 8-
1780
ooox
7>8 o
24689 48-
27890 289-
34689 3- 5+
23489
ooooo
8>4 o
47890 489- 56+
12348 348-
23489 89- 156+
oooox",651370,,線瓦,1900-01-02 00:00:00,33,,,海月,,,,,,,,,,三紅,ooo,ooox,ooox,ooooo,oooox,藍,紅,紅,藍,紅,"海月, , , , , , , , , ",0,1,藍紅紅藍紅,0>7,7>8,8>4,梅,派,忠,德,忠,娜,梅,178,N,N,N
34,"169
270
348
469
150 
oox
1469 5+
1780 5+
2378 5+
1469 5+
2780
oooo
0>2 o
1378 5+
1689 18- 25+
3468 8- 5+
3468
oooo
2>5 o
34690 3490- 25+
34678
ooooo",290584,3.0,線瓦,1900-01-02 00:00:00,34,,,,,,,,,,,,海月,三藍活,oox,oooo,oooo,ooooo,,紅,藍,藍,藍,,", , , , , , , , , 海月",0,1,紅藍藍藍,0>2,2>5,,德,刺,奧,忠,梅,奧,德,169,N,N,N
35,"169
248
358
246
159 36-
oox
1269 9-
3780
2890
4890
3460
ooox
0>3 o
1234
2346
1237 1- 80+
2346 90+
ooox",892054,,線瓦,1900-01-02 00:00:00,35,,,,,,,海月,,,,,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,", , , , 海月, , , , , ",0,1,紅紅紅,0>3,,,奧,忠,,忠,梅,派,奧,169,N,N,N
36,"169
257 4+
356 4+
125 15- 4+
356
oox
6790 0- 4+
2678
1689 4+
6790 0- 4+
1230
ooox
0>4 x
1468 6-
2679 40+
oooo
4>6 x
26790
ooooo
6>8 o
46790
26789
ooooo",534167,,線瓦,1900-01-02 00:00:00,36,,,,,,,,,,海月,,,三藍活,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , , , , , 海月, , ",0,1,紅紅藍藍藍,0>4,4>6,6>8,忠,德,派,奧,德,刺,忠,169,N,N,N
37,"369 1+
290
347 8+
479 8+
345
ooo
1569 5-
3457 3- 9+
3458 35-
5790 5-
3450
ooox
0>5 x
1367 0+
2689 0+
3457 0+
3457
3457
oooo
5>9 x
13568 1358- 290+
34578
ooooo",629085,,線瓦,1900-01-02 00:00:00,37,,,,,,,,,,,,海月,三藍活,ooo,ooox,oooo,ooooo,,藍,紅,藍,藍,,", , , , , , , , , 海月",0,1,藍紅藍藍,0>5,5>9,,奧,梅,德,忠,忠,梅,奧,369,N,N,Y
38,"190
247
389
458
245
ooo
2456
2457 5-
2458
2459
2450
ooox
0>9 x
1458
2780
3589 8-
2478
2578
ooox
9>7 o
24568 2458-
12570 1250-
12368 1236-
24567 9+
ooooo
24567
ooooo",310895,,線瓦,1900-01-02 00:00:00,38,,,,,,海月,,,,,,,三藍活,ooo,ooox,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,", , , 海月, , , , , , ",0,1,藍紅紅藍藍,0>9,9>7,,德,派,忠,娜,忠,梅,德,190,N,Y,N
39,"148
123
123
456
456
oox
1689 4+
1678 1- 4+
5680 5- 4+
1690 4+
1690
ooox
0>5 o
1580 4+
1235 1- 4+
1235 1- 4+
1235 4+
3450
xxxx",530429,,線瓦,1900-01-02 00:00:00,39,,,,,,,,海月,,,,,三紅,oox,ooox,xxxx,,,紅,紅,紅,,,", , , , , 海月, , , , ",0,1,紅紅紅,0>5,,,德,刺,,忠,奧,刺,德,148,N,N,N
40,"789 1+
269
369
458
578
oox
2568 2-
1279
1248
2379 2- 0+
5780
ooxx
0>4 x
1289 9- 0+
2679 6- 0+
3489 0+
3469 0+
3459
oooo
4>6 o
34569
ooooo
6>8 o
24569
34569
ooooo",017234,5.0,線瓦,1900-01-02 00:00:00,40,,,,,,,,,,,海月,,三藍活,oox,ooxx,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , , , , , , 海月, ",0,1,紅紅藍藍藍,0>4,4>6,6>8,刺,梅,忠,娜,梅,忠,刺,789,N,N,Y
41,"367 145+
oox
2479 0+
1348 0+
2490 7+
1579
4679
oooo
0>9 o
4679
oooo
9>6 o
46789 23+
ooooo",503862,1.0,面瓦,1900-01-02 00:00:00,1,1-286,Kay,痴痴,海月,池,皮皮,湧傑,C5,NICK徐,阿賢,Kay,史萊姆,三藍活,oox,oooo,oooo,ooooo,,紅,藍,藍,藍,,"痴痴, 海月, 池, 皮皮, 湧傑, C5, NICK徐, 阿賢, KAY, 史萊姆",1,1,紅藍藍藍,0>9,9>6,,娜,忠,派,忠,忠,刺,娜,367,N,N,Y
42,"179
134 2+
238
459 5-
358
oxx
1679
1679
1278
1279 3+
1790
ooox
0>1 x
2679 1+
2679 1+
2679 13+
oooo
1>7 o
24679
ooooo
7>3 o
25679
ooooo
",840521,1.0,面瓦,1900-01-02 00:00:00,2,1-302,感覺是喬,,,,海月,,,,,,,三藍死,oxx,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , 海月, , , , , , ",0,1,紅紅藍藍藍,0>1,1>7,7>3,德,梅,忠,梅,娜,奧,德,179,N,N,N
43,"167
278
368
450
450
ooo
3678
4570
1368
4590
3459
ooxx
0>2 o
1268 5+
1268 59+
oooo
2>4 o
12468
oooxx
4>5 o
24570
oooox",204986,,面瓦,1900-01-02 00:00:00,3,,Kay,C5,NICK徐,阿賢,Kay,史萊姆,痴痴,海月,池,皮皮,湧傑,三紅,ooo,ooxx,oooo,oooxx,oooox,藍,紅,藍,紅,紅,"C5, NICK徐, 阿賢, KAY, 史萊姆, 痴痴, 海月, 池, 皮皮, 湧傑",1,1,藍紅藍紅紅,0>2,2>4,4>5,娜,刺,德,忠,德,忠,娜,167,N,N,N
44,"123
278
369
349
256
oox
6790
2780
2780
3690 0-
6780
ooox
0>5 o
1580
2578 8-
3570 57-
4570 0-
5789
oooo
5>4 o
45789
ooooo
4>6 x
45789
ooooo
",306125,2.0,面瓦,1900-01-02 00:00:00,4,,感覺是喬,,,海月,,,,,,,,三藍活,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , 海月, , , , , , , ",0,1,紅紅藍藍藍,0>5,5>4,4>6,娜,梅,忠,奧,忠,梅,娜,123,N,N,N
45,"169
290
237
123 4+
145
ooo
1456 38+
ooox
0>1 o
1247 3+
1245 4- 38+
1490 2+
1450 5- 8+
1345
oooo
1>4 o
12345
ooooo",068975,5.0,面瓦,1900-01-02 00:00:00,5,,Kay,Kay,史萊姆,痴痴,海月,池,皮皮,湧傑,C5,NICK徐,阿賢,三藍死,ooo,ooox,oooo,ooooo,,藍,紅,藍,藍,,"KAY, 史萊姆, 痴痴, 海月, 池, 皮皮, 湧傑, C5, NICK徐, 阿賢",1,1,藍紅藍藍,0>1,1>4,,刺,忠,忠,忠,忠,梅,刺,169,N,N,N
46,"134
358 3- 2+
140 3+
489 1+
350
oox
6789
6780
6780
1469 3+
6780
ooox
0>4 x
1278 8-
1270 8+
1789 1789-3+
4578 578-
2570
oooo
4>3 o
25670
ooooo
3>9 o
12570
ooooo
",438907,7.0,面瓦,1900-01-02 00:00:00,6,,感覺是喬,,,,海月,,,,,,,三藍死,oox,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , 海月, , , , , , ",0,1,紅紅藍藍藍,0>4,4>3,3>9,派,刺,娜,忠,刺,忠,派,134,N,N,N
47,"147
258
358
479
135
ooo
4689
2578 2-
4689
1359 278+
ooxx
0>4 o
4560 4-
1460 4-
2348 4-
3480 4- 2+
3460
ooxx
4>8 x
24567 6- 9+
25679
24678 2- 19+
12678 1- 290+
oooxx",831026,,面瓦,1900-01-02 00:00:00,7,,Kay,池,皮皮,湧傑,C5,NICK徐,阿賢,Kay,史萊姆,痴痴,海月,三紅,ooo,ooxx,ooxx,oooxx,,藍,紅,紅,紅,,"池, 皮皮, 湧傑, C5, NICK徐, 阿賢, KAY, 史萊姆, 痴痴, 海月",1,1,藍紅紅紅,0>4,4>8,,奧,忠,刺,德,忠,忠,奧,147,N,N,N
48,"128
278
348
249
157
oxx
3468
2368 2- 7+
2689
2349
2380
ooox
0>8 o
1249
1280
3468 4-
2469 17+
ooox
",473520,,面瓦,1900-01-02 00:00:00,8,,感覺是喬,,,,,海月,,,,,,三紅,oxx,ooox,ooox,,,紅,紅,紅,,,", , , , 海月, , , , , ",0,1,紅紅紅,0>8,,,梅,忠,,忠,刺,奧,梅,128,N,N,N
49,"123
259
378
470
580
oox
1670
1367
1237
1389
1480
ooox
0>4 x
1237 2-
1237
ooox
",543681,,面瓦,1900-01-02 00:00:00,9,,Kay,史萊姆,痴痴,海月,池,皮皮,湧傑,C5,NICK徐,阿賢,Kay,三紅,oox,ooox,ooox,,,紅,紅,紅,,,"史萊姆, 痴痴, 海月, 池, 皮皮, 湧傑, C5, NICK徐, 阿賢, KAY",1,1,紅紅紅,0>4,,,忠,娜,,梅,娜,刺,忠,123,N,N,N
50,"147
236
468 3+
479
560
oox
4679
3780 1+
2678
3679
3560
ooox
0>4 o
1347 0+
2467 7- 0+
3478 0+
3479
ooox
",027649,,面瓦,1900-01-02 00:00:00,10,,Kay,NICK徐,阿賢,Kay,史萊姆,痴痴,海月,池,皮皮,湧傑,C5,三紅,oox,ooox,ooox,,,紅,紅,紅,,,"NICK徐, 阿賢, KAY, 史萊姆, 痴痴, 海月, 池, 皮皮, 湧傑, C5",1,1,紅紅紅,0>4,,,刺,派,,忠,派,忠,刺,147,N,N,N
51,"120
125
389
468
560
ooo
4560 5-
5670
1378
1560 9+
5680
oooo
0>8 o
5680
oooo
",439260,5.0,面瓦,1900-01-02 00:00:00,11,,Kay,C5,NICK徐,阿賢,Kay,史萊姆,痴痴,海月,池,皮皮,湧傑,三藍活,ooo,oooo,oooo,,,藍,藍,藍,,,"C5, NICK徐, 阿賢, KAY, 史萊姆, 痴痴, 海月, 池, 皮皮, 湧傑",1,1,藍藍藍,0>8,,,梅,忠,,忠,刺,忠,梅,120,N,Y,N
52,"240 17+
246 7+
368
489
569
oox
2368
1789
1289
2890 7+
1250
ooox
0>5 x
1290 1- 78+
1269
ooox",345607,,面瓦,1900-01-02 00:00:00,12,瓦1-54,KAY那邊,,,,,,,,,海月,,三紅,oox,ooox,ooox,,,紅,紅,紅,,,", , , , , , , , 海月, ",0,1,紅紅紅,0>5,,,派,德,,忠,娜,德,派,240,N,Y,Y
53,"120
259
679 3+
458
245
oxx
3690
3670
3890
6789 78-
3690
ooox
0>3 x
1679
oooo
3>8 x
16790
ooooo
16790
ooooo",423876,0.0,面瓦,1900-01-02 00:00:00,13,,沒月,,,,,,,,,,,三藍活,oxx,ooox,oooo,ooooo,ooooo,紅,紅,藍,藍,藍,", , , , , , , , , ",0,0,紅紅藍藍藍,0>3,3>8,,忠,德,奧,忠,刺,忠,忠,120,N,Y,N
54,"189 2+
279
380
459 2+
589
ooo
2589 6+
1589 37+
ooxx
0>6 o
2680
2469
4690
1260
2690
ooox
6>7 o
23678
24679
45670 47-
26790 4+
ooooo
7>9 o
24679 2479-
24679 2479-
24679 13580+ 
ooooo",301569,9.0,面瓦,1900-01-02 00:00:00,14,,,,,,,海月,,,,,,三藍死,ooo,ooxx,ooox,ooooo,ooooo,藍,紅,紅,藍,藍,", , , , 海月, , , , , ",0,1,藍紅紅藍藍,0>6,6>7,7>9,娜,派,忠,德,忠,奧,娜,189,N,N,N
