流水號,文字記錄,配置,刺殺,分類,日期時間,場次,頁碼,note,玩1,玩2,玩3,玩4,玩5,玩6,玩7,玩8,玩9,玩0,結果,第一局成功失敗,第二局成功失敗,第三局成功失敗,第四局成功失敗,第五局成功失敗,第一局,第二局,第三局,第四局,第五局,組成,強人,戳人,局勢,首湖,二湖,三湖,首湖玩家,二湖玩家,三湖玩家,角1,角4,角5,角0,2025-01-01 00:00:00,派5,派0,外灑
1891,"158 4+
248
360
478
356 8-
oxx
2480 136+0-
ooox
0>2 o
2789 3+2-
2789 3+2-
2479 3+24-
2479 3680+2-
ooxx",934512,,線瓦,2025-07-21 00:00:00,4,,,Dean,Sin,軒,HAO,洋蔥,池,小向,菜,Cameron,JOY,三紅,oxx,ooox,ooxx,,,紅,紅,紅,,,"DEAN, SIN, 軒, HAO, 洋蔥, 池, 小向, 菜, CAMERON, JOY",5,2,紅紅紅,0>2,,,忠,梅,,派,德,奧,忠,158,Y,N,N
1892,"179
480 2+
370
490
459
oox
5670
3567
2380 6+
2890
2380
oooo
0>3 o
2380 145679+
oooo
3>2 o
23480 1679+
ooooo",715632,0.0,線瓦,2025-07-21 00:00:00,5,,,豬豬,池,Dean,JOY,黑羊,菜,軒,HAO,小向,Sin,三藍活,oox,oooo,oooo,ooooo,,紅,藍,藍,藍,,"豬豬, 池, DEAN, JOY, 黑羊, 菜, 軒, HAO, 小向, SIN",4,3,紅藍藍藍,0>3,3>2,,忠,派,梅,娜,忠,德,忠,179,N,N,N
1893,"126
129
368
129 4+
156
oox
3689
1239 39-7+
3689
3689 15+
ooox
0>4 x
2890 89-
1359 9-
2389 38-0+
1359 80+
ooox",586017,,線瓦,2025-07-21 00:00:00,6,,,JOY,Sin,軒,HAO,菜,Dean,豬豬,Ray,池,小向,三紅,oox,ooox,ooox,,,紅,紅,紅,,,"JOY, SIN, 軒, HAO, 菜, DEAN, 豬豬, RAY, 池, 小向",5,3,紅紅紅,0>4,,,奧,忠,,派,忠,刺,奧,126,N,N,N
1894,"136
279
359
470 9+
257
ooo
1670 4+
2579
2578
2490 4-
1670
oooo
0>1 o
1670 234589+
oooo",425970,1.0,線瓦,2025-07-21 00:00:00,7,,,JOY,HAO,Dean,池,軒,尼克,Sin,小向,菜,豬豬,三藍活,ooo,oooo,oooo,,,藍,藍,藍,,,"JOY, HAO, DEAN, 池, 軒, 尼克, SIN, 小向, 菜, 豬豬",4,3,藍藍藍,0>1,,,梅,忠,,忠,刺,德,梅,136,N,N,N
1895,"169
128
348
469
258
ooo
6780 7-
1270 2-
1258 3+
5790 7-
2580
ooox
0>7 o
1258
1258
1358
4589 8-
1578
oooo
7>5 o
15678 230+5-
oooox",463052,2.0,線瓦,2025-07-23 00:00:00,1,,,fancy,豬豬,轆,冰雪塵,HAO,菜,池,軒,憲,Sin,三藍死,ooo,ooox,oooo,oooox,,藍,紅,藍,藍,,"FANCY, 豬豬, 轆, 冰雪塵, HAO, 菜, 池, 軒, 憲, SIN",4,2,藍紅藍藍,0>7,7>5,,奧,忠,派,忠,刺,派,奧,169,N,N,N
1896,"167
269
357
147
256
oxx
1670 0-
1790
1780
1479 2+
1790
ooox
0>7 o
1789 79-
2479 79-
1789 345+
ooox",461238,,線瓦,2025-07-23 00:00:00,2,,,豬豬,Sin,JOY,轆,池,fancy,HAO,憲,菜,軒,三紅,oxx,ooox,ooox,,,紅,紅,紅,,,"豬豬, SIN, JOY, 轆, 池, FANCY, HAO, 憲, 菜, 軒",5,2,紅紅紅,0>7,,,忠,忠,,德,刺,忠,忠,167,N,N,N
1897,"125
289
368
259 4+
245
ooo
3678 8-
2458 7+
2459 5-8+
2459 1+
2450
oooo
0>5 o
2450 136789+
oooo",839761,5.0,線瓦,2025-07-23 00:00:00,3,,,轆,池,豬豬,HAO,菜,軒,憲,JOY,Sin,fancy,三藍活,ooo,oooo,oooo,,,藍,藍,藍,,,"轆, 池, 豬豬, HAO, 菜, 軒, 憲, JOY, SIN, FANCY",5,2,藍藍藍,0>5,,,忠,忠,,梅,忠,忠,忠,125,Y,N,N
1898,"358 1+
569 2+
890 3+
468 8-
158
ooo
1568
1578 6+
1589 6+
1589 5-6+
1580
oooo
0>7 o
1578 23460+
oooo",926304,5.0,線瓦,2025-07-23 00:00:00,4,,,轆,豬豬,JOY,軒,HAO,菜,fancy,池,Sin,憲,三藍活,ooo,oooo,oooo,,,藍,藍,藍,,,"轆, 豬豬, JOY, 軒, HAO, 菜, FANCY, 池, SIN, 憲",5,2,藍藍藍,0>7,,,派,忠,,忠,梅,忠,派,358,Y,N,Y
1899,"167
237
270 3+
450
570
ooo
5670
4570
5780
5790
4570
oooo
0>5 o
4570 13689+
oooo",621390,4.0,線瓦,2025-07-23 00:00:00,5,,,fancy,憲,Sin,池,JOY,菜,HAO,豬豬,軒,轆,三藍活,ooo,oooo,oooo,,,藍,藍,藍,,,"FANCY, 憲, SIN, 池, JOY, 菜, HAO, 豬豬, 軒, 轆",5,2,藍藍藍,0>5,,,梅,忠,,德,忠,忠,梅,167,N,N,N
1900,"169
258
135
470
156
oox
1679
4790 9-
1480
1369
4570
ooox
0>5 o
1469
2458 458-
3468
4679 13+
ooox",431205,,線瓦,2025-07-27 00:00:00,1,,,菜,開司,HAO,尼克,發達,豬豬,Sin,小向,kevin,軒,三紅,oox,ooox,ooox,,,紅,紅,紅,,,"菜, 開司, HAO, 尼克, 發達, 豬豬, SIN, 小向, KEVIN, 軒",1,4,紅紅紅,0>5,,,派,梅,,德,刺,梅,派,169,N,N,N
