# [阿瓦隆百科積分賽戰績報表](https://docs.google.com/spreadsheets/d/1BSHEw3QFDb1M4gO37anrTKYxZKc800fPEIwQn3NnEGI),,,,,,,,,,,,,,,,,ED,,,,,,,,,,,,,,,,,,,,,,,,,,
"* 最新數據統計至 2026/03/26, 包括線瓦, 面瓦以及邀請賽等所有遊戲紀錄",,,池,728,SIN,1084,,,,,,,,,,,,,,,
* 梅林: DAL (92%),DAL (92%),,尼克,873,夆,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 忠臣: FANCY (100%),FANCY (100%),,米奇,39,SBEAR,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,小背包,152,嚇吃手,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
## 歡迎投稿想看的特殊數據喔,,,黑羊,661,FANCY,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TEN,258,亞可,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,大星,337,K810,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SIN,1084,FOX,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,黃某人,368,YUMI,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,很乖,243,ALAN,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,午夜,291,阿寶,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,夆,140,熊,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PENNY,20,DAL,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,發達,386,毛爸,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,毛爸,83,爾勵,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,洋蔥,580,SIRIUS,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,布冬,211,冰雪塵,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FOX,109,奈奈,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,軒,783,C5,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LIANG,485,W,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,開司,183,婷婷,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,K810,117,叉燒,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,熊,84,YJ,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,小亞,29,皮皮,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,奈奈,60,米奇,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,KEVIN,425,ERIC,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,言言,23,曹清,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,YITING,12,溫,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FISH,5,UD,30,UD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,KUDI,14,梅粉,30,梅粉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,婷婷,48,小亞,29,小亞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TANG,6,CAMERON,29,CAMERON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ARTH,26,痴痴,28,痴痴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,豪豪,26,心地,27,心地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,台中ANDY,11,快樂,26,快樂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,企鵝,14,ARTH,26,ARTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SBEAR,135,豪豪,26,豪豪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,呂安,231,聖昊,24,聖昊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,OBER,5,言言,23,言言,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIKE,21,學姊,23,學姊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,貝沙,16,KAY,22,KAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,嚇吃手,128,憲,22,憲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,學姊,23,南信子,21,南信子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,EMMA,158,MIKE,21,MIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,梅粉,30,真心,21,真心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,冰雪塵,70,PENNY,20,PENNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,豬豬,425,昭杰,19,昭杰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,阿寶,95,ENRS,18,ENRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,JIM,3,AMY,17,AMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FANCY,127,貝沙,16,貝沙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,小朱,6,小程,16,小程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,小吳,1,小余,16,小余,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,邱小神,4,愚勇,15,愚勇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BEEFY,4,滴酒不露,15,滴酒不露,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,菜,359,KUDI,14,KUDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SCOUT,2,企鵝,14,企鵝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,W,55,KITKAT,13,KITKAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,溫,31,YITING,12,YITING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ENRS,18,愛鯊客,12,愛鯊客,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,YJ,41,DAVID,12,DAVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,叉燒,45,波波,12,波波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,憲,22,NICK徐,11,NICK徐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,祥子,1,台中ANDY,11,台中ANDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CAMERON,29,雷孟,10,雷孟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A,4,TED,10,TED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,聖昊,24,QQ,10,QQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,小向,157,芭樂,10,芭樂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,亞可,118,史萊姆,9,史萊姆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,YL,4,阿賢,9,阿賢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
